"No.","Time","Source","Destination","Protocol","Length","Info"
"140","1.987711","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#8] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458855 TSecr=2042505084"
"141","2.007941","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#9] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458881 TSecr=2042505084"
"142","2.014717","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#10] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458890 TSecr=2042505084"
"143","2.028085","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#11] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458895 TSecr=2042505084"
"144","2.048244","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#12] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458919 TSecr=2042505084"
"145","2.068264","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 132#13] 22  >  64173 [ACK] Seq=1981 Ack=23517 Win=65728 Len=0 TSval=3458936 TSecr=2042505084"
"146","2.076201","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"147","2.076235","172.16.2.2","172.16.3.2","SSH","1514","Client: Encrypted packet (len=1432)"
"148","2.087865","172.16.3.2","172.16.2.2","TCP","66","22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3458954 TSecr=2042505343"
"149","2.087884","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 148#1] 22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3458954 TSecr=2042505343"
"150","2.096036","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 148#2] 22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3458969 TSecr=2042505343"
"151","2.118531","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 148#3] 22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3458991 TSecr=2042505343"
"152","2.137699","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 148#4] 22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3459006 TSecr=2042505343"
"153","2.158591","172.16.3.2","172.16.2.2","MPTCP","74","[TCP Dup ACK 148#5] 22  >  64173 [ACK] Seq=1981 Ack=26381 Win=65728 Len=0 TSval=3459030 TSecr=2042505343"
