"No.","Time","Source","Destination","Protocol","Length","Info"
"394","1.286088","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=268767 Win=65728 Len=0 TSval=1458449642 TSecr=4060633870"
"395","1.286548","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=271631 Win=65728 Len=0 TSval=1458449657 TSecr=4060633872"
"396","1.293186","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2135 Ack=273063 Win=65728 Len=0 TSval=1458449663 TSecr=4060633872"
"397","1.294146","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"398","1.294180","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"399","1.294218","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"400","1.294243","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"401","1.294345","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"402","1.294414","172.16.1.2","172.16.3.2","SSHv2","1346","Client: "
"403","1.305660","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=275927 Win=65728 Len=0 TSval=1458449663 TSecr=4060633872"
"404","1.306087","172.16.3.2","172.16.1.2","TCP","66","22  >  18641 [ACK] Seq=2135 Ack=278791 Win=65728 Len=0 TSval=1458449676 TSecr=4060633872"
"405","1.306307","172.16.3.2","172.16.1.2","MPTCP","74","22  >  18641 [ACK] Seq=2135 Ack=280223 Win=65728 Len=0 TSval=1458449676 TSecr=4060633872"
"406","1.307109","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"407","1.307130","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
"408","1.312541","172.16.3.2","172.16.1.2","MPTCP","74","[TCP Dup ACK 405#1] 22  >  18641 [ACK] Seq=2135 Ack=280223 Win=65728 Len=0 TSval=1458449683 TSecr=4060633872"
"409","1.321923","172.16.1.2","172.16.3.2","SSHv2","1514","Client: "
